Electrical_Conductivity_dS_m,Moisture_percent,pH,Temperature_C,Salinity_ppm,Humidity_percent,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Soil_Type,Crop_Type,Fertilizer
2.26,22.41,6.45,28.37,1105.89,72.25,21.74,77.23,56.07,Sandy,Peanut,Potash
1.8,37.91,7.96,36.1,238.6,83.4,39.31,43.12,494.87,Loamy,Sugarcane,DAP (Di-Ammonium Phosphate)
1.06,35.77,5.97,18.54,26.89,63.61,113.41,12.5,190.88,Loamy,Rice,Superphosphate
0.46,6.82,8.7,25.25,1958.48,48.6,94.61,37.95,162.65,Loamy,Rice,Ammonium Sulphate
3.78,41.45,5.51,17.81,1794.41,61.02,144.49,64.97,414.49,Clayey,Sugarcane,"NPK (Nitrogen, Phosphorus, Potassium)"
2.4,32.04,7.27,23.49,1032.1,35.48,25.14,13.95,396.23,Clayey,Rice,Bone Meal
2.0,36.27,6.27,21.15,1713.17,41.47,148.51,97.32,226.45,Clayey,Soybean,Bone Meal
1.02,17.92,7.32,38.75,712.84,75.79,22.21,57.02,83.45,Clayey,Tomato,Ammonium Sulphate
1.03,6.57,7.73,11.18,1310.05,52.72,81.62,77.83,477.07,Clayey,Sugarcane,"NPK (Nitrogen, Phosphorus, Potassium)"
3.35,9.69,5.62,35.54,302.32,83.72,101.26,27.62,93.14,Sandy,Maize,Potash
2.12,8.09,5.26,10.75,595.7,31.38,15.19,28.93,489.49,Loamy,Rice,Ammonium Nitrate
3.28,17.2,6.3,25.51,1915.64,31.68,130.96,11.9,78.08,Clayey,Cotton,Superphosphate
0.17,32.14,4.37,19.11,1088.47,82.53,72.81,5.33,141.22,Loamy,Rice,Superphosphate
2.87,22.52,7.05,21.64,143.3,80.44,7.76,8.73,88.36,Sandy,Tomato,Bone Meal
1.9,5.03,8.04,27.86,717.52,66.52,21.04,83.72,267.04,Clayey,Cotton,Bone Meal
3.74,30.97,6.53,30.37,486.74,77.23,104.37,15.21,158.75,Loamy,Tomato,Calcium Nitrate
1.48,45.92,8.93,12.0,1931.81,79.69,75.5,54.15,287.0,Sandy,Peanut,Superphosphate
2.22,19.71,6.41,21.78,1794.57,70.96,32.91,92.23,318.52,Clayey,Potato,Potash
3.81,49.97,4.44,22.9,174.65,44.54,36.72,19.97,120.84,Clayey,Maize,Bone Meal
2.04,27.72,7.3,21.76,909.87,76.82,81.11,13.2,98.01,Clayey,Sugarcane,"NPK (Nitrogen, Phosphorus, Potassium)"
3.33,31.96,6.46,33.25,1157.4,35.52,131.03,31.48,342.99,Sandy,Sugarcane,Urea
3.49,35.05,4.35,37.28,273.39,67.79,20.75,39.82,86.81,Sandy,Maize,"NPK (Nitrogen, Phosphorus, Potassium)"
2.87,12.73,4.96,13.14,938.03,31.58,139.29,87.66,336.04,Loamy,Wheat,Ammonium Sulphate
0.57,39.23,5.34,21.29,690.79,44.94,125.55,25.81,212.45,Sandy,Soybean,Superphosphate
3.89,49.27,6.21,38.42,139.42,67.43,134.59,16.71,199.51,Clayey,Peanut,Bone Meal
1.84,29.36,6.03,15.02,1680.67,47.37,147.89,31.47,201.22,Clayey,Peanut,Bone Meal
3.78,14.84,7.24,10.96,454.38,75.41,138.96,28.15,303.53,Sandy,Potato,Ammonium Nitrate
2.86,28.79,4.16,21.59,383.4,84.85,33.38,53.67,297.07,Sandy,Sugarcane,Bone Meal
2.38,31.24,4.97,36.98,1477.65,73.34,82.92,89.99,436.76,Clayey,Rice,Urea
3.11,24.31,6.43,34.57,1125.96,84.97,64.86,62.69,470.58,Clayey,Cotton,Bone Meal
1.65,20.48,5.28,38.65,1526.04,76.92,11.2,79.8,484.15,Clayey,Sugarcane,Ammonium Nitrate
3.19,9.84,7.29,31.84,1160.09,31.06,114.42,73.58,68.18,Clayey,Rice,Ammonium Nitrate
0.88,49.9,4.25,27.64,189.66,74.19,129.35,79.57,352.81,Clayey,Soybean,Compost
3.83,28.65,4.61,17.48,86.79,70.77,9.75,6.44,423.88,Clayey,Wheat,Ammonium Sulphate
3.97,41.13,8.62,34.46,698.9,34.95,88.55,53.14,248.39,Sandy,Wheat,Compost
2.15,37.49,4.2,24.34,395.3,55.78,5.82,73.62,107.12,Clayey,Soybean,Calcium Nitrate
2.9,23.73,4.61,13.16,1941.46,46.03,123.13,26.04,329.33,Clayey,Wheat,Bone Meal
0.2,47.21,5.16,15.67,865.28,35.19,59.42,50.81,147.27,Loamy,Cotton,Superphosphate
3.81,6.43,6.12,12.99,452.54,50.6,117.22,75.38,166.19,Sandy,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
0.37,30.44,8.01,31.54,60.84,44.3,15.44,30.81,133.67,Sandy,Tomato,Superphosphate
1.81,37.52,5.81,17.95,1228.96,89.6,57.69,57.48,351.55,Loamy,Potato,Urea
1.94,16.39,4.11,28.36,1098.5,50.56,21.1,68.31,372.78,Clayey,Rice,Urea
2.18,20.8,6.62,29.94,1075.85,70.68,108.53,15.01,91.9,Sandy,Potato,Potash
1.79,45.41,4.66,38.95,1567.83,49.49,114.2,10.19,188.38,Clayey,Sugarcane,Compost
2.84,7.21,7.02,22.02,1277.45,79.36,18.52,23.21,280.91,Sandy,Peanut,Superphosphate
2.06,42.19,8.43,36.84,925.07,36.34,53.74,76.5,171.28,Loamy,Peanut,Ammonium Nitrate
3.69,8.81,8.06,33.75,391.4,46.4,94.62,35.56,193.64,Loamy,Maize,Calcium Nitrate
2.49,17.86,6.09,18.18,800.44,46.34,74.02,37.4,220.1,Clayey,Soybean,Potash
3.26,5.45,8.64,25.66,155.34,66.5,65.09,22.8,72.68,Clayey,Cotton,Compost
0.63,36.65,7.54,27.23,291.78,60.37,132.59,54.1,450.91,Loamy,Peanut,Bone Meal
0.26,36.11,8.72,10.77,980.92,65.24,42.88,63.99,149.13,Clayey,Cotton,Potash
3.77,26.86,7.45,13.33,1779.43,62.01,10.83,88.97,349.42,Clayey,Sugarcane,Compost
3.06,38.4,7.59,32.97,1971.27,86.24,77.63,26.89,138.14,Sandy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
1.83,7.46,4.11,23.15,1658.57,53.21,139.45,22.16,347.18,Clayey,Tomato,Calcium Nitrate
3.72,12.73,7.03,37.45,226.85,41.35,100.66,95.16,287.55,Sandy,Sugarcane,Urea
1.45,42.19,5.58,38.14,500.75,53.52,112.79,94.81,139.83,Sandy,Soybean,DAP (Di-Ammonium Phosphate)
1.18,36.94,8.24,15.99,1378.68,60.11,130.08,60.15,452.77,Sandy,Sugarcane,Superphosphate
0.22,8.63,4.65,37.34,1033.6,54.93,115.55,31.72,302.5,Sandy,Sugarcane,"NPK (Nitrogen, Phosphorus, Potassium)"
1.07,20.3,8.61,19.44,973.88,56.96,101.18,54.02,215.67,Clayey,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
3.7,11.27,7.74,23.68,1146.45,47.83,71.16,48.18,344.93,Loamy,Sugarcane,DAP (Di-Ammonium Phosphate)
1.84,29.36,6.03,15.02,1680.67,47.37,147.89,31.47,201.22,Clayey,Peanut,Bone Meal
0.23,15.35,7.74,17.81,1954.37,88.1,22.61,30.82,414.95,Sandy,Peanut,Potash
1.86,20.09,4.43,22.55,1757.98,73.71,31.79,58.91,304.9,Sandy,Wheat,Calcium Nitrate
2.51,39.05,8.41,31.03,1773.06,65.73,5.18,50.92,121.39,Loamy,Sugarcane,Ammonium Nitrate
0.12,19.08,4.84,22.69,298.19,66.87,130.98,9.0,264.9,Sandy,Tomato,DAP (Di-Ammonium Phosphate)
0.37,19.75,6.28,30.96,995.88,69.67,49.04,87.09,364.58,Sandy,Tomato,Urea
0.75,16.24,8.67,21.97,227.92,49.47,15.25,35.54,75.97,Loamy,Cotton,Bone Meal
1.61,17.36,8.69,33.61,143.8,33.26,91.35,45.94,318.4,Sandy,Soybean,DAP (Di-Ammonium Phosphate)
3.07,42.82,6.29,28.71,817.97,40.44,55.91,56.52,52.55,Clayey,Peanut,Compost
3.12,41.66,4.36,35.47,668.49,35.07,44.84,66.9,96.66,Clayey,Sugarcane,Superphosphate
1.77,21.27,5.96,14.94,1260.37,51.5,90.39,77.2,497.35,Loamy,Tomato,Ammonium Nitrate
0.42,23.24,6.21,31.17,1775.18,44.54,147.17,66.98,96.58,Clayey,Soybean,Calcium Nitrate
3.99,25.27,8.47,36.25,1926.41,88.69,23.56,32.93,193.0,Sandy,Soybean,Superphosphate
0.69,9.81,6.74,33.6,501.61,65.02,21.78,79.49,439.57,Loamy,Cotton,DAP (Di-Ammonium Phosphate)
1.04,34.22,4.16,13.78,588.93,70.83,67.66,55.84,199.47,Clayey,Tomato,Ammonium Nitrate
1.41,29.7,7.15,24.23,1086.98,66.51,85.29,51.44,230.59,Clayey,Potato,"NPK (Nitrogen, Phosphorus, Potassium)"
3.46,39.11,7.73,20.63,1053.5,74.67,70.95,67.93,196.48,Clayey,Sugarcane,Calcium Nitrate
0.76,34.05,8.05,29.39,462.28,67.01,23.35,51.37,246.57,Loamy,Tomato,Ammonium Sulphate
2.3,19.4,6.2,19.43,1187.71,51.35,82.23,84.01,183.84,Loamy,Tomato,Ammonium Sulphate
2.11,21.76,5.88,17.57,1010.23,66.22,78.09,16.42,92.39,Sandy,Potato,Compost
3.85,23.35,4.43,31.31,299.27,51.94,86.73,33.08,331.43,Sandy,Cotton,Compost
3.53,20.27,5.57,26.1,1114.69,50.77,12.68,52.85,166.01,Clayey,Peanut,Urea
3.99,33.98,6.59,30.82,1726.05,85.66,135.81,78.2,472.65,Sandy,Wheat,Ammonium Sulphate
0.12,24.76,6.01,33.76,703.65,38.04,84.8,21.39,83.15,Clayey,Peanut,Urea
0.28,23.88,7.39,32.7,1786.28,59.07,123.06,69.75,488.66,Loamy,Maize,Ammonium Nitrate
2.02,7.6,4.87,23.62,424.25,57.82,51.28,80.94,137.31,Clayey,Potato,Ammonium Nitrate
2.06,32.35,8.56,13.68,1954.38,67.18,90.55,13.98,229.9,Sandy,Soybean,Bone Meal
0.15,23.0,5.75,22.4,1043.63,88.3,99.48,26.26,183.61,Sandy,Soybean,Ammonium Sulphate
2.05,22.63,7.03,22.91,1708.03,68.1,64.14,43.8,278.94,Loamy,Potato,Urea
2.68,12.6,5.12,29.33,1611.53,70.91,33.42,47.66,359.25,Sandy,Maize,Potash
0.28,43.36,6.54,28.71,1585.69,57.91,124.18,62.03,269.67,Clayey,Sugarcane,Ammonium Nitrate
0.89,43.93,5.53,16.28,1205.46,67.84,125.46,25.6,467.0,Loamy,Maize,Superphosphate
3.28,48.56,5.12,32.44,654.4,77.06,129.99,98.99,69.62,Loamy,Cotton,Urea
2.7,32.47,4.0,31.67,1458.47,64.43,31.93,38.28,83.31,Sandy,Sugarcane,Calcium Nitrate
1.63,45.16,8.9,17.16,865.41,81.22,46.17,82.64,367.87,Clayey,Cotton,Urea
0.77,39.77,8.32,19.39,794.91,30.22,94.62,67.78,431.9,Loamy,Potato,Urea
1.69,47.57,5.39,35.4,1129.7,52.83,69.57,96.41,234.16,Clayey,Maize,Calcium Nitrate
