Electrical Conductivity (dS/m),Moisture (%),pH,Temperature (°C),Salinity (ppm),Humidity (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Soil Type,Crop Type,Fertilizer
0.317454012,29.4604631,6.525012084,21.18835635,5.900880322,82.69273916,125.7421121,37.49175909,198.1066309,Loamy,rice,NPK
0.865071431,12.9122691,7.056824661,20.93052683,6.900066032,79.37318007,131.8702838,34.52414185,167.0318423,Clayey,rice,NPK
0.235199394,29.41594508,7.799782564,22.48911877,2.994452692,81.86068198,143.2228276,38.30829118,120.8975019,Loamy,rice,NPK
0.478865848,26.13851237,7.022658145,27.03845504,8.905858741,80.64820455,125.6740406,38.39839781,135.1972838,Clayey,rice,NPK
0.614601864,28.16608603,7.635320111,20.18754653,6.094906511,81.5511409,126.9213165,34.69023693,163.6189906,Loamy,rice,NPK
0.231599452,23.56675007,7.059826055,23.91398684,1.944413035,84.08583084,240.7241737,36.94983797,167.5670735,Clayey,rice,NPK
0.206808361,15.30590805,5.726459538,22.5663408,5.994532946,84.02303764,231.4546432,30.80753418,197.2527944,Loamy,rice,Compost
0.433617615,20.8173316,5.694363724,21.01736835,11.91222753,81.74372625,199.8011945,31.89469799,170.8242104,Clayey,rice,NPK
0.293111501,26.67659521,6.704697408,24.41379153,8.004409683,84.16391945,149.2875186,33.63989772,130.8117468,Loamy,rice,NPK
0.350807258,24.280189,6.290224646,24.18247042,5.975991225,82.22425938,168.3092752,32.36664608,135.6517289,Clayey,rice,NPK
0.772058449,20.36608028,5.420108592,27.44690389,6.908932006,81.16096864,128.8242709,38.73118569,229.2287692,Loamy,rice,Compost
0.258990985,15.38298256,7.497651045,23.63725558,2.967024853,80.04920414,135.2735382,34.33903142,209.9926634,Loamy,rice,NPK
0.502244264,15.7359235,5.122351077,27.57264338,8.978287204,79.79457037,229.0681258,34.39472538,220.1965782,Sandy,rice,Vermicompost
0.620233911,18.04098663,6.956477442,24.71019897,6.097984298,81.51620369,211.3284307,35.84811463,159.4661697,Clayey,rice,NPK
0.234182497,19.77082372,6.965727201,25.08721284,1.941577174,80.18980787,223.5230884,35.76350897,178.8419733,Loamy,rice,NPK
0.219340451,23.29708014,7.069523097,24.53067495,6.008955923,81.49901152,157.8701977,37.57664104,197.2331336,Sandy,rice,DAP
0.377424224,12.36506023,6.246371975,20.7324824,12.09746311,83.51380953,176.7330235,33.9103265,123.4154076,Sandy,rice,Vermicompost
0.285475643,20.58466704,6.982632446,24.46734101,8.058403842,81.83472847,199.0891065,34.49453798,128.811251,Loamy,rice,NPK
0.323194502,19.82243515,5.949565868,21.21434417,6.0986735,80.48951533,188.0203457,34.83307456,165.9935261,Clayey,rice,NPK
0.789122914,25.69700532,5.893341217,22.72106566,7.093659663,82.81274436,186.7679371,36.67433003,175.0015988,Sandy,rice,DAP
0.221185289,17.83321659,6.442262293,21.12547977,2.997907908,79.95772905,198.511957,32.88888287,186.4379588,Sandy,rice,Vermicompost
0.432949386,16.8735499,5.104356538,25.31129959,9.03927517,82.57664253,210.570008,34.79895654,133.207173,Loamy,rice,Compost
0.627214465,13.96306654,6.042767797,22.65750127,5.922088625,80.45332493,201.4964043,35.71696775,229.1020304,Clayey,rice,NPK
0.252636184,15.11929291,6.245078933,22.00102055,1.988229765,83.19728769,169.4737739,37.96102597,212.1293578,Sandy,rice,Vermicompost
0.250606998,21.70012001,7.3484913,23.36279847,6.061803708,81.42507451,121.6238458,36.80900828,220.2110872,Clayey,rice,NPK
0.425517596,13.80661695,7.769523367,24.19652925,12.00106706,80.18016401,134.1375519,33.60448644,159.9959185,Loamy,rice,NPK
0.252967378,25.50488657,6.319121914,26.85750275,8.040539807,82.9913052,163.8158609,35.48686185,176.2102738,Sandy,rice,DAP
0.521423444,16.83166869,7.043723249,24.65957332,6.049150266,79.11140325,166.4528587,38.64959013,197.0109091,Sandy,rice,Vermicompost
0.829241457,14.11846362,6.247285126,20.67154416,6.950693828,83.654248,195.8308621,33.70591745,190.3651073,Sandy,rice,Vermicompost
0.164645041,12.39081783,6.073914574,21.92011203,3.075139875,79.46657887,126.8501148,31.82547695,189.8043812,Clayey,rice,NPK
