Electrical Conductivity (dS/m),Moisture (%),pH,Temperature (°C),Salinity (ppm),Humidity (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Soil Type,Crop Type,Fertilizer
1.06,25.2,7.785039076,17.09104223,836,18.25142068,57,57,75,Loamy,chickpea,DAP
2.39,28.9,5.685102769,33.78372897,612,81.16314317,26,135,203,Clayey,grapes,DAP
1.88,12.5,7.393825704,23.69287069,918,66.76090123,108,33,31,Clayey,coffee,Potash
1.58,23.7,6.119216009,25.56202173,872,77.38229006,117,76,47,Clayey,banana,Ammonium Sulphate
0.56,22.2,5.731535258,23.15791104,112,90.34396882,31,121,201,Sandy,apple,Ammonium Sulphate
0.56,30,7.861128148,17.43732714,659,14.33847406,48,65,78,Loamy,chickpea,Potash
0.33,32.2,5.624690248,23.82576704,924,24.75485098,14,67,22,Loamy,kidneybeans,Ammonium Sulphate
2.19,5.4,6.25449571,26.58413917,470,95.78923137,36,27,26,Clayey,coconut,Potash
1.58,25.2,7.538631462,25.36586097,390,66.6379724,48,62,15,Sandy,blackgram,Urea
1.83,6.6,6.413184638,27.15116142,431,91.48889469,30,13,25,Loamy,coconut,DAP
0.25,21.5,6.635968698,27.01470397,705,84.34262707,36,55,20,Loamy,mungbean,DAP
2.43,13.6,7.786725333,34.51423957,360,90.56151463,6,13,9,Clayey,orange,Ammonium Sulphate
2.11,14.2,5.987262638,22.71750705,889,92.25479855,40,144,196,Sandy,apple,NPK
0.69,15.6,3.532008668,31.01963639,970,49.9767522,16,51,21,Clayey,mothbeans,DAP
0.62,23.6,5.52078314,21.22503442,304,90.09877774,0,145,205,Loamy,apple,Potash
0.62,15,5.96537863,9.851242629,796,80.22631717,23,138,200,Sandy,grapes,NPK
0.9,27,7.299076163,25.49386782,786,86.97061481,82,35,35,Clayey,jute,NPK
1.41,17.1,5.868285082,29.28725038,486,91.95614918,16,6,29,Loamy,coconut,DAP
1.19,7.1,5.551963184,27.10134661,991,93.69979946,39,5,31,Clayey,coconut,DAP
0.87,28.5,7.26158085,26.57421679,920,73.81994896,84,38,43,Clayey,jute,DAP
1.61,13.6,6.581351374,27.96235681,567,83.97586797,14,37,15,Clayey,mungbean,Potash
0.52,18,6.212369363,27.48612983,514,76.11239849,91,75,55,Sandy,banana,NPK
0.87,25.6,5.864623352,33.18184225,168,38.23184742,38,55,19,Loamy,pigeonpeas,Ammonium Sulphate
1.04,15,5.863996687,34.38922481,571,83.18392806,39,129,203,Loamy,grapes,Potash
1.25,6.7,6.347929353,28.98039357,203,57.23265151,27,72,17,Loamy,pigeonpeas,Urea
2.01,16.2,6.383180271,23.1094265,857,92.79630809,13,126,204,Loamy,apple,DAP
0.66,33.3,6.043485685,25.234661,260,57.53161469,100,32,26,Sandy,coffee,NPK
1.38,24.3,5.932323085,17.91652287,299,24.90814655,27,69,22,Clayey,kidneybeans,Potash
1.56,25.1,6.761953186,24.48620746,315,92.98254537,60,46,53,Loamy,papaya,Urea
0.31,24,6.075144116,29.62800691,311,90.10051615,85,21,52,Sandy,muskmelon,Potash
1.6,11,7.168096055,18.59190771,607,14.77959596,40,58,75,Clayey,chickpea,Potash
0.59,17.6,6.832979509,31.40948821,115,49.21729127,33,29,34,Sandy,mango,Ammonium Sulphate
0.35,27.5,6.460542749,33.93679864,597,52.72170281,31,36,29,Sandy,mango,Ammonium Sulphate
2.38,8,6.386021424,22.12659387,983,90.97818277,10,141,201,Loamy,apple,Potash
2.42,13.3,6.641906353,18.51816776,431,55.53128131,63,43,19,Loamy,maize,Urea
2.06,13.3,5.791649933,22.8056033,816,56.50768935,77,58,19,Clayey,maize,NPK
0.9,18,6.779832611,23.60301571,976,60.39647474,104,18,30,Clayey,coffee,NPK
0.42,34.4,6.431899748,24.12832546,650,56.18107663,108,24,31,Loamy,coffee,DAP
1.77,7,5.63127166,28.09577643,700,77.79586769,89,83,47,Sandy,banana,DAP
1.21,20.6,7.382762603,23.85724032,355,82.22572988,93,56,42,Loamy,rice,NPK
0.48,10.4,6.049801781,27.53911354,865,77.25629897,100,80,52,Clayey,banana,Potash
1.34,34.1,7.196774236,27.53592929,827,85.5701901,31,51,25,Sandy,mungbean,Potash
0.28,8.4,6.726528895,26.12492233,979,63.37479229,112,39,29,Sandy,coffee,Ammonium Sulphate
2.29,17.1,6.012480351,29.17052093,914,94.19790371,115,18,53,Sandy,muskmelon,Ammonium Sulphate
0.8,27.1,6.425419926,10.72302459,271,80.02130636,21,134,202,Loamy,grapes,DAP
1.72,26.1,6.418062652,35.95176642,748,36.52780776,36,67,25,Loamy,pigeonpeas,NPK
0.92,17.7,6.392313973,31.65333432,597,48.20662669,3,18,31,Clayey,mango,Potash
1.4,15.4,5.750254943,24.92162194,570,66.78627406,67,60,25,Sandy,maize,NPK
1.46,16.9,6.078724107,18.13027797,483,62.45851612,16,65,16,Sandy,lentil,Urea
0.63,12.9,6.499936446,20.58314011,789,69.00128641,96,46,22,Loamy,maize,NPK
2.43,11.2,6.379690748,27.42711692,688,90.02696201,87,25,46,Clayey,muskmelon,Urea
1.98,19.5,7.4526709,18.89780215,799,19.76182946,36,56,83,Clayey,chickpea,Ammonium Sulphate
2.36,13.1,7.104094929,24.63228709,606,89.01574455,40,29,42,Sandy,pomegranate,Ammonium Sulphate
2.26,13.6,6.261937875,26.13708256,626,66.7729209,9,56,17,Loamy,lentil,DAP
1.58,24.7,6.877799264,25.67324193,903,51.29043632,120,23,28,Sandy,coffee,NPK
2.32,34.1,6.37620108,25.29954705,930,81.77527562,105,30,50,Loamy,watermelon,NPK
0.4,23.1,6.970859754,23.79391957,424,80.41817957,91,35,39,Clayey,rice,Urea
0.65,7.3,7.120272972,25.65553461,313,83.47021081,74,54,38,Sandy,rice,Ammonium Sulphate
0.3,7.3,4.516154055,25.12528913,307,51.33189406,36,44,21,Sandy,mothbeans,Urea
0.95,33.5,6.550563823,24.9321581,268,73.80435276,77,57,21,Sandy,maize,Ammonium Sulphate
1.09,13.9,5.689858133,18.4167001,429,23.42829938,17,59,17,Clayey,kidneybeans,Urea
0.82,7.8,6.524459342,31.88342554,379,91.3256535,65,63,50,Sandy,papaya,Ammonium Sulphate
2.11,23,7.124571593,23.75091572,404,71.14782585,65,54,39,Clayey,jute,Urea
1.02,23.7,5.93202852,12.087022,245,83.59398734,24,140,205,Loamy,grapes,Ammonium Sulphate
0.85,24.5,5.554831977,39.70772192,874,82.68593454,25,130,197,Clayey,grapes,Urea
1.45,13,7.22405917,25.65842532,615,61.18235808,39,73,24,Loamy,blackgram,NPK
0.52,5.5,3.558822825,28.79929247,189,49.84213387,35,51,17,Clayey,mothbeans,DAP
2.05,34,7.621494566,26.25070298,552,67.62779652,4,59,19,Clayey,lentil,Urea
0.37,12.5,6.648725327,24.71417533,159,56.73426469,77,36,23,Sandy,maize,DAP
